label,class_id,temperature,humidity,tvoc_ppb,eco2_ppm
Normal,0,23.9,60.8,0,400
Normal,0,23.9,60.8,0,400
Normal,0,23.9,60.7,0,400
Normal,0,23.9,60.7,0,400
Normal,0,23.9,60.7,0,400
Normal,0,23.9,60.7,0,400
Normal,0,23.9,60.7,0,400
Normal,0,23.9,60.7,0,400
Normal,0,23.9,60.7,0,400
Normal,0,23.9,60.7,0,400
Normal,0,23.9,60.6,0,400
Normal,0,23.9,60.6,0,400
Normal,0,23.9,60.6,0,400
Normal,0,23.9,60.6,0,400
Normal,0,23.9,60.6,0,400
Normal,0,23.9,60.6,2,400
Normal,0,23.9,60.6,4,403
Normal,0,23.9,60.6,4,404
Normal,0,23.9,60.6,7,407
Normal,0,23.9,60.6,10,402
Normal,0,23.9,60.6,8,403
Normal,0,23.9,60.6,9,407
Normal,0,23.9,60.6,10,412
Normal,0,23.9,60.6,11,411
Normal,0,23.9,60.6,11,409
Normal,0,23.9,60.6,5,416
Normal,0,23.9,60.6,9,415
Normal,0,23.9,60.6,14,419
Normal,0,23.9,60.6,12,424
Normal,0,23.9,60.6,14,415
Normal,0,23.9,60.6,15,420
Normal,0,23.9,60.6,17,427
Normal,0,23.9,60.6,16,414
Normal,0,23.9,60.6,17,411
Normal,0,23.9,60.6,12,409
Normal,0,23.9,60.6,14,402
Normal,0,23.9,60.6,12,407
Normal,0,23.9,60.6,11,406
Normal,0,23.9,60.6,10,400
Normal,0,23.9,60.6,11,400
Normal,0,23.9,60.6,11,402
Normal,0,23.9,60.6,11,409
Normal,0,23.9,60.6,14,411
Normal,0,23.9,60.6,11,400
Normal,0,23.9,60.6,9,405
Normal,0,23.9,60.6,11,413
Normal,0,23.9,60.6,12,414
Normal,0,23.9,60.6,15,417
Normal,0,23.9,60.6,14,415
Normal,0,23.9,60.6,10,407
Normal,0,23.9,60.6,12,418
Normal,0,23.9,60.6,17,418
Normal,0,23.9,60.6,12,414
Normal,0,23.9,60.6,15,417
Normal,0,23.9,60.6,17,412
Normal,0,23.9,60.6,13,412
Normal,0,23.9,60.6,16,411
Normal,0,23.9,60.7,10,412
Normal,0,23.9,60.7,17,412
Normal,0,23.9,60.7,14,412
Normal,0,23.9,60.7,10,407
Normal,0,23.9,60.7,14,412
Normal,0,23.9,60.7,13,412
Normal,0,23.9,60.7,18,405
Normal,0,23.9,60.7,11,410
Normal,0,23.9,60.7,11,404
Normal,0,23.9,60.7,9,401
Normal,0,23.9,60.7,10,400
Normal,0,23.9,60.7,7,400
Normal,0,23.9,60.7,6,402
Normal,0,23.9,60.6,5,405
Normal,0,23.9,60.6,6,403
Normal,0,23.9,60.6,5,400
Normal,0,23.9,60.6,0,400
Normal,0,23.9,60.6,2,403
Normal,0,23.9,60.6,0,400
Normal,0,23.9,60.5,2,412
Normal,0,23.9,60.5,1,414
Normal,0,23.9,60.5,0,409
Normal,0,23.9,60.5,0,403
Normal,0,23.9,60.5,2,412
Normal,0,23.9,60.5,3,404
Normal,0,23.9,60.5,6,414
Normal,0,23.9,60.5,5,413
Normal,0,23.9,60.4,8,408
Normal,0,23.9,60.4,5,414
Normal,0,23.9,60.4,6,411
Normal,0,23.9,60.5,3,404
Normal,0,23.9,60.5,4,406
Normal,0,23.9,60.5,8,403
Normal,0,23.9,60.5,6,403
Normal,0,23.9,60.5,5,405
Normal,0,23.9,60.5,2,407
