label,class_id,temperature,humidity,tvoc_ppb,eco2_ppm
Normal,0,21.6,61.6,0,400
Normal,0,21.6,61.6,0,400
Normal,0,21.7,61.7,0,400
Normal,0,21.7,61.7,0,400
Normal,0,21.6,61.7,0,400
Normal,0,21.6,61.7,0,400
Normal,0,21.6,61.7,0,400
Normal,0,21.6,61.7,0,400
Normal,0,21.6,61.7,0,400
Normal,0,21.6,61.7,0,400
Normal,0,21.6,61.8,0,400
Normal,0,21.6,61.8,0,400
Normal,0,21.7,61.8,0,400
Normal,0,21.7,61.8,0,400
Normal,0,21.6,61.8,0,400
Normal,0,21.6,61.8,2,400
Normal,0,21.6,61.8,1,400
Normal,0,21.6,61.8,3,405
Normal,0,21.6,61.8,1,416
Normal,0,21.6,61.8,2,413
Normal,0,21.6,61.9,1,408
Normal,0,21.6,61.9,2,407
Normal,0,21.6,61.9,5,412
Normal,0,21.6,61.9,7,403
Normal,0,21.6,61.9,4,400
Normal,0,21.6,61.9,3,400
Normal,0,21.6,61.9,7,406
Normal,0,21.6,61.9,5,400
Normal,0,21.7,62.0,1,400
Normal,0,21.7,62.0,1,400
Normal,0,21.7,61.9,1,402
Normal,0,21.7,61.9,3,400
Normal,0,21.7,61.9,0,404
Normal,0,21.7,61.9,3,400
Normal,0,21.7,61.8,5,409
Normal,0,21.7,61.8,2,409
Normal,0,21.7,61.8,1,408
Normal,0,21.7,61.8,0,410
Normal,0,21.7,61.8,3,407
Normal,0,21.7,61.7,3,415
Normal,0,21.7,61.7,5,411
Normal,0,21.7,61.6,4,403
Normal,0,21.7,61.5,9,415
Normal,0,21.7,61.4,3,415
Normal,0,21.7,61.4,7,414
Normal,0,21.8,61.3,6,408
Normal,0,21.8,61.3,7,412
Normal,0,21.8,61.2,7,410
Normal,0,21.8,61.2,2,404
Normal,0,21.8,61.1,1,409
Normal,0,21.8,61.1,6,412
Normal,0,21.8,60.9,14,417
Normal,0,21.8,60.9,10,417
Normal,0,21.8,60.9,11,412
Normal,0,21.8,60.9,6,411
Normal,0,21.8,60.9,11,415
Normal,0,21.8,60.9,11,420
Normal,0,21.9,60.9,12,409
Normal,0,21.9,60.9,11,408
Normal,0,21.9,60.9,6,406
Normal,0,21.9,60.9,9,414
Normal,0,21.9,60.9,9,415
Normal,0,21.9,60.9,5,407
Normal,0,21.9,60.9,9,410
Normal,0,21.9,60.9,10,406
Normal,0,21.9,60.9,6,406
Normal,0,21.9,60.9,9,412
Normal,0,21.9,60.8,7,406
Normal,0,21.9,60.8,11,406
Normal,0,21.9,60.7,8,409
Normal,0,21.9,60.7,7,408
Normal,0,21.9,60.7,5,400
Normal,0,21.9,60.7,7,404
Normal,0,21.9,60.7,5,402
Normal,0,21.9,60.7,7,408
Normal,0,21.9,60.6,10,406
Normal,0,21.9,60.6,8,411
Normal,0,21.9,60.6,7,407
Normal,0,21.9,60.6,5,406
Normal,0,21.9,60.6,9,420
Normal,0,21.9,60.7,5,406
Normal,0,21.9,60.7,11,414
Normal,0,21.9,60.7,10,417
Normal,0,21.9,60.7,7,408
Normal,0,21.9,60.7,10,413
Normal,0,21.9,60.7,11,410
Normal,0,21.9,60.8,8,409
Normal,0,21.9,60.8,13,404
Normal,0,21.9,60.8,11,419
Normal,0,21.9,60.8,9,412
Normal,0,21.9,60.8,13,412
Normal,0,21.9,60.8,18,417
Normal,0,21.9,60.8,14,408
Normal,0,21.9,60.8,14,411
Normal,0,21.9,60.8,13,405
Normal,0,21.9,60.8,9,403
Normal,0,21.9,60.8,12,405
Normal,0,21.9,60.8,7,403
Normal,0,21.9,60.8,10,404
Normal,0,21.9,60.8,6,403
Normal,0,21.9,60.8,13,412
Normal,0,21.9,60.8,10,405
Normal,0,21.9,60.8,12,418
Normal,0,21.9,60.9,9,402
Normal,0,21.9,60.9,15,407
Normal,0,21.9,60.9,12,410
Normal,0,21.9,60.9,7,400
Normal,0,21.9,60.9,6,400
Normal,0,21.9,60.9,9,407
Normal,0,21.9,60.9,13,406
Normal,0,21.9,60.9,8,407
Normal,0,21.9,60.9,7,403
Normal,0,21.9,60.9,13,402
Normal,0,21.9,60.9,10,406
Normal,0,21.9,60.9,5,401
Normal,0,21.9,60.9,4,400
Normal,0,21.9,60.9,8,408
Normal,0,21.9,60.9,10,413
Normal,0,21.9,60.9,12,408
Normal,0,21.9,60.9,8,403
Normal,0,21.9,60.9,11,405
Normal,0,21.9,60.9,7,400
Normal,0,21.9,60.9,10,403
Normal,0,21.9,60.9,9,402
Normal,0,21.9,60.9,11,409
Normal,0,21.9,60.9,10,403
Normal,0,21.9,60.9,9,401
Normal,0,21.9,60.9,7,401
Normal,0,21.9,60.9,13,409
Normal,0,21.9,60.9,7,407
Normal,0,21.9,60.9,11,413
Normal,0,21.9,61.0,13,402
Normal,0,21.9,61.0,5,400
Normal,0,21.9,61.0,15,402
Normal,0,21.9,61.0,7,400
Normal,0,21.9,61.0,5,401
Normal,0,21.9,61.0,10,401
Normal,0,21.9,61.0,3,400
Normal,0,21.9,61.0,9,406
Normal,0,21.9,61.0,6,404
Normal,0,21.9,61.0,2,406
Normal,0,21.8,61.0,14,414
Normal,0,21.8,61.0,13,408
Normal,0,21.8,61.0,10,403
Normal,0,21.8,61.1,9,405
Normal,0,21.8,61.1,13,409
Normal,0,21.8,61.2,5,403
Normal,0,21.8,61.2,9,403
Normal,0,21.8,61.2,5,400
Normal,0,21.8,61.2,3,406
Normal,0,21.8,61.3,8,406
Normal,0,21.8,61.3,5,408
Normal,0,21.8,61.3,2,400
Normal,0,21.8,61.3,6,404
Normal,0,21.8,61.3,0,404
Normal,0,21.8,61.3,5,407
Normal,0,21.8,61.3,9,407
Normal,0,21.8,61.3,6,406
Normal,0,21.8,61.4,1,402
Normal,0,21.8,61.4,5,403
Normal,0,21.8,61.4,5,406
Normal,0,21.8,61.4,2,406
Normal,0,21.8,61.4,6,400
Normal,0,21.8,61.4,1,405
Normal,0,21.8,61.5,5,405
Normal,0,21.8,61.5,6,409
Normal,0,21.8,61.5,1,410
Normal,0,21.8,61.5,4,406
Normal,0,21.8,61.5,8,416
Normal,0,21.8,61.5,3,404
Normal,0,21.8,61.5,2,402
Normal,0,21.8,61.5,4,401
Normal,0,21.8,61.5,2,408
Normal,0,21.8,61.5,9,407
Normal,0,21.7,61.5,8,407
Normal,0,21.7,61.5,10,407
Normal,0,21.7,61.5,7,401
Normal,0,21.7,61.5,10,409
Normal,0,21.7,61.5,3,409
Normal,0,21.8,61.6,3,400
Normal,0,21.8,61.6,5,401
Normal,0,21.7,61.5,4,400
Normal,0,21.7,61.5,5,407
Normal,0,21.7,61.6,5,401
Normal,0,21.7,61.6,6,412
Normal,0,21.7,61.6,5,402
Normal,0,21.7,61.6,4,410
Normal,0,21.7,61.6,6,410
Normal,0,21.7,61.6,2,406
Normal,0,21.7,61.6,8,404
Normal,0,21.7,61.6,0,400
Normal,0,21.7,61.6,6,400
Normal,0,21.7,61.6,4,404
Normal,0,21.7,61.6,1,404
Normal,0,21.7,61.6,0,403
Normal,0,21.7,61.7,2,405
Normal,0,21.7,61.7,0,400
Normal,0,21.7,61.7,3,400
Normal,0,21.7,61.7,4,410
Normal,0,21.7,61.7,0,403
Normal,0,21.7,61.7,0,403
Normal,0,21.7,61.7,0,401
Normal,0,21.7,61.7,3,402
Normal,0,21.7,61.7,0,406
Normal,0,21.7,61.7,5,410
Normal,0,21.7,61.7,3,405
